LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LFPR,25_64,PC_AGE,A,1966,65.1171564267996,
AUS,LFPR,25_64,PC_AGE,A,1967,65.491104752944,
AUS,LFPR,25_64,PC_AGE,A,1968,66.1134287979388,
AUS,LFPR,25_64,PC_AGE,A,1969,66.2927766990211,
AUS,LFPR,25_64,PC_AGE,A,1970,67.539021991628,
AUS,LFPR,25_64,PC_AGE,A,1971,67.9112622915086,
AUS,LFPR,25_64,PC_AGE,A,1972,68.3495137713458,
AUS,LFPR,25_64,PC_AGE,A,1973,68.8546452616431,
AUS,LFPR,25_64,PC_AGE,A,1974,68.9333203332886,
AUS,LFPR,25_64,PC_AGE,A,1975,68.9259799971971,
AUS,LFPR,25_64,PC_AGE,A,1976,68.9466625456211,
AUS,LFPR,25_64,PC_AGE,A,1977,69.2503580090704,
AUS,LFPR,25_64,PC_AGE,A,1978,68.3799259546762,
AUS,LFPR,25_64,PC_AGE,A,1979,68.0923436368487,
AUS,LFPR,25_64,PC_AGE,A,1980,68.469974361681,
AUS,LFPR,25_64,PC_AGE,A,1981,68.4333414435347,
AUS,LFPR,25_64,PC_AGE,A,1982,68.2459819716321,
AUS,LFPR,25_64,PC_AGE,A,1983,68.0219858981651,
AUS,LFPR,25_64,PC_AGE,A,1984,68.435592566646,
AUS,LFPR,25_64,PC_AGE,A,1985,68.9447962926177,
AUS,LFPR,25_64,PC_AGE,A,1986,70.572484291968,
AUS,LFPR,25_64,PC_AGE,A,1987,71.0762417218822,
AUS,LFPR,25_64,PC_AGE,A,1988,71.942941088766,
AUS,LFPR,25_64,PC_AGE,A,1989,72.938453747696,
AUS,LFPR,25_64,PC_AGE,A,1990,73.9555393536417,
AUS,LFPR,25_64,PC_AGE,A,1991,74.0199279475244,
AUS,LFPR,25_64,PC_AGE,A,1992,73.8796046679143,
AUS,LFPR,25_64,PC_AGE,A,1993,73.7499761935016,
AUS,LFPR,25_64,PC_AGE,A,1994,73.9635344000192,
AUS,LFPR,25_64,PC_AGE,A,1995,74.6329178164631,
AUS,LFPR,25_64,PC_AGE,A,1996,74.6918229028478,
AUS,LFPR,25_64,PC_AGE,A,1997,74.5475092316801,
AUS,LFPR,25_64,PC_AGE,A,1998,74.4760513313994,
AUS,LFPR,25_64,PC_AGE,A,1999,74.2191646251646,
AUS,LFPR,25_64,PC_AGE,A,2000,74.7177002660723,
AUS,LFPR,25_64,PC_AGE,A,2001,74.9219453076513,
AUS,LFPR,25_64,PC_AGE,A,2002,75.2164874252348,
AUS,LFPR,25_64,PC_AGE,A,2003,75.5842929489201,
AUS,LFPR,25_64,PC_AGE,A,2004,75.4585441142792,
AUS,LFPR,25_64,PC_AGE,A,2005,76.5825535246114,
AUS,LFPR,25_64,PC_AGE,A,2006,77.0993363188728,
